benchmark,machine,repetition,test,result
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"shm",131.761866
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"shm-sysv",982.288708
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"stack",0
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"stackmmap",5.297299
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"str",21172.693084
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"stream",2.580926
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"tsearch",17.33129
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"vecmath",1010.941165
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"vm",26994.873627
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"vm-rw",91.17488
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"vm-splice",633817.420049
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"zero",750704.692447
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"af-alg",8007.228863
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"atomic",729222.785473
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"bigheap",34383.413807
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"brk",663169.980511
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"bsearch",377.725667
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"cache",3.29999
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"cpu",270.981556
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"crypt",166.669919
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"full",289590.322238
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"heapsort",4.799999
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"hsearch",3332.617957
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"icache",989.464001
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"lockbus",2133348.868058
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"longjmp",118965.20836
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"lsearch",9.600049
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"malloc",2569824.462529
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"matrix",5277.836869
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"memcpy",1151.7143
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"mincore",50441.528938
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"mmap",1.199379
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"mremap",16.996983
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"msync",59.519518
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"nop",191979.297423
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,,576191.414569
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"numa",97.897288
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"oom-pipe",0
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"opcode",726.774563
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"qsort",10.000035
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"remap",431.616564
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"resources",1443.599711
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"rmap",404.352364
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"shm",128.114868
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"shm-sysv",534.904352
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"stack",0.290127
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"stackmmap",5.498477
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"str",21230.710971
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"stream",2.737793
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"tsearch",16.864351
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"vecmath",1035.940229
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"vm",26994.828043
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"vm-rw",92.375318
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"vm-splice",624043.682433
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,4,"zero",761171.675106
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"af-alg",7646.289936
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"atomic",732250.209099
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"bigheap",34496.65235
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"brk",666278.279545
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"bsearch",383.708297
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"cache",3.299956
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"cpu",271.965324
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"crypt",162.924339
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"full",182624.274476
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"heapsort",4.899997
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"hsearch",3408.211214
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"icache",1026.415524
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"lockbus",2134473.622969
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"longjmp",118947.271371
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"lsearch",9.600043
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"malloc",2583870.059277
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"matrix",5287.827988
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"memcpy",1164.614534
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"mincore",51435.488185
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"mmap",1.199396
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"mremap",16.498766
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"msync",58.747215
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"nop",193241.582701
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,,561491.308198
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"numa",96.995521
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"oom-pipe",0
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"opcode",733.820675
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"qsort",10.10003
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"remap",420.720827
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"resources",1458.409294
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"rmap",1184.743199
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"shm",128.569937
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"shm-sysv",102.385031
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"stack",0
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"stackmmap",5.397785
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"str",21408.95415
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"stream",3.519981
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"tsearch",16.977376
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"vecmath",1038.03741
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"vm",26995.358369
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"vm-rw",93.218883
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"vm-splice",626650.426
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,5,"zero",747580.445981
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"af-alg",7463.353184
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"atomic",451593.254992
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"bigheap",28855.035798
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"brk",513928.626579
