repetition,benchmark,machine,test,result
3,redisbench,apt132.apt.emulab.net,"GET","380300.44"

3,redisbench,apt132.apt.emulab.net,"LPUSH","392233.78"

3,redisbench,apt132.apt.emulab.net,"LPOP","394399.53"

3,redisbench,apt134.apt.emulab.net,"SET","373343.31"

3,redisbench,apt134.apt.emulab.net,"GET","376789.75"

3,redisbench,apt134.apt.emulab.net,"LPUSH","392618.78"

3,redisbench,apt134.apt.emulab.net,"LPOP","394321.75"

3,redisbench,dwill.soe.ucsc.edu,"SET","455684.69"

3,redisbench,dwill.soe.ucsc.edu,"GET","450450.44"

3,redisbench,dwill.soe.ucsc.edu,"LPUSH","474946.56"

3,redisbench,dwill.soe.ucsc.edu,"LPOP","468823.28"

3,redisbench,issdm-0,"SET","77927.13"

3,redisbench,issdm-0,"GET","83717.04"

3,redisbench,issdm-0,"LPUSH","75909.97"

3,redisbench,issdm-0,"LPOP","76719.48"

3,redisbench,issdm-34,"SET","87366.77"

3,redisbench,issdm-34,"GET","93782.23"

3,redisbench,issdm-34,"LPUSH","84459.46"

3,redisbench,issdm-34,"LPOP","85481.05"

3,redisbench,issdm-6,"SET","91132.78"

3,redisbench,issdm-6,"GET","96445.97"

3,redisbench,issdm-6,"LPUSH","88335.32"

3,redisbench,issdm-6,"LPOP","88711.47"

3,redisbench,ms1103.utah.cloudlab.us,"SET","301750.16"

3,redisbench,ms1103.utah.cloudlab.us,"GET","318319.28"

3,redisbench,ms1103.utah.cloudlab.us,"LPUSH","317762.94"

3,redisbench,ms1103.utah.cloudlab.us,"LPOP","323362.97"

3,redisbench,ms1119.utah.cloudlab.us,"SET","446229.38"

3,redisbench,ms1119.utah.cloudlab.us,"GET","443262.41"

3,redisbench,ms1119.utah.cloudlab.us,"LPUSH","467836.25"

3,redisbench,ms1119.utah.cloudlab.us,"LPOP","467398.94"

3,redisbench,ms1128.utah.cloudlab.us,"SET","434310.53"

3,redisbench,ms1128.utah.cloudlab.us,"GET","447928.31"

3,redisbench,ms1128.utah.cloudlab.us,"LPUSH","460829.47"

3,redisbench,ms1128.utah.cloudlab.us,"LPOP","466744.47"

3,redisbench,ms1139.utah.cloudlab.us,"SET","464468.16"

3,redisbench,ms1139.utah.cloudlab.us,"GET","459664.47"

3,redisbench,ms1139.utah.cloudlab.us,"LPUSH","484027.09"

3,redisbench,ms1139.utah.cloudlab.us,"LPOP","475624.25"

3,redisbench,pc19.utahddc.geniracks.net,"SET","265816.06"

3,redisbench,pc19.utahddc.geniracks.net,"GET","269360.25"

3,redisbench,pc19.utahddc.geniracks.net,"LPUSH","248262.17"

3,redisbench,pc19.utahddc.geniracks.net,"LPOP","251698.97"

3,redisbench,pc22.utahddc.geniracks.net,"SET","228597.56"

3,redisbench,pc22.utahddc.geniracks.net,"GET","279407.66"

3,redisbench,pc22.utahddc.geniracks.net,"LPUSH","294074.41"

3,redisbench,pc22.utahddc.geniracks.net,"LPOP","265498.47"

3,redisbench,pc25.utahddc.geniracks.net,"SET","263331.16"

3,redisbench,pc25.utahddc.geniracks.net,"GET","325044.69"

3,redisbench,pc25.utahddc.geniracks.net,"LPUSH","325679.88"

3,redisbench,pc25.utahddc.geniracks.net,"LPOP","236910.67"

3,redisbench,pc31.utahddc.geniracks.net,"SET","290570.97"

3,redisbench,pc31.utahddc.geniracks.net,"GET","262329.47"

3,redisbench,pc31.utahddc.geniracks.net,"LPUSH","239263.06"

3,redisbench,pc31.utahddc.geniracks.net,"LPOP","239750.66"

3,redisbench,pc765.emulab.net,"SET","357270.44"

3,redisbench,pc765.emulab.net,"GET","414937.75"

3,redisbench,pc765.emulab.net,"LPUSH","342172.81"

3,redisbench,pc765.emulab.net,"LPOP","389029.38"

3,redisbench,pc767.emulab.net,"SET","301250.19"

3,redisbench,pc767.emulab.net,"GET","327654.00"

3,redisbench,pc767.emulab.net,"LPUSH","319744.19"

3,redisbench,pc767.emulab.net,"LPOP","345661.97"

3,redisbench,pc769.emulab.net,"SET","318623.56"

3,redisbench,pc769.emulab.net,"GET","400480.59"

3,redisbench,pc769.emulab.net,"LPUSH","417014.19"

3,redisbench,pc769.emulab.net,"LPOP","414078.69"

3,redisbench,pc773.emulab.net,"SET","356061.94"

3,redisbench,pc773.emulab.net,"GET","379003.22"

3,redisbench,pc773.emulab.net,"LPUSH","341763.50"

3,redisbench,pc773.emulab.net,"LPOP","341705.09"

3,redisbench,pl2,"SET","274348.44"

3,redisbench,pl2,"GET","304599.44"

3,redisbench,pl2,"LPUSH","322424.62"

3,redisbench,pl2,"LPOP","318979.28"

3,redisbench,rackform2,"SET","233672.16"

3,redisbench,rackform2,"GET","227531.28"

3,redisbench,rackform2,"LPUSH","240905.80"

3,redisbench,rackform2,"LPOP","239750.66"

3,redisbench,scruffy.soe.ucsc.edu,"SET","273485.56"

3,redisbench,scruffy.soe.ucsc.edu,"GET","287769.78"

3,redisbench,scruffy.soe.ucsc.edu,"LPUSH","310607.22"

3,redisbench,scruffy.soe.ucsc.edu,"LPOP","302892.62"

1,stressng-cpu,apt129.apt.emulab.net,"af-alg",11328.618495
1,stressng-cpu,apt129.apt.emulab.net,"atomic",572368.429616
1,stressng-cpu,apt129.apt.emulab.net,"bsearch",349.312374
1,stressng-cpu,apt129.apt.emulab.net,"cpu",207.92416
1,stressng-cpu,apt129.apt.emulab.net,"crypt",107.379104
1,stressng-cpu,apt129.apt.emulab.net,"fp-error",791907.997073
1,stressng-cpu,apt129.apt.emulab.net,"hsearch",3416.960652
1,stressng-cpu,apt129.apt.emulab.net,"longjmp",96443.610485
1,stressng-cpu,apt129.apt.emulab.net,"lsearch",7.200174
1,stressng-cpu,apt129.apt.emulab.net,"matrix",3934.603064
1,stressng-cpu,apt129.apt.emulab.net,"opcode",1103.475489
1,stressng-cpu,apt129.apt.emulab.net,"qsort",7.067053
1,stressng-cpu,apt129.apt.emulab.net,"tsc",806739.266408
1,stressng-cpu,apt129.apt.emulab.net,"tsearch",15.033402
1,stressng-cpu,apt129.apt.emulab.net,"vecmath",2430.970272















1,stressng-cpu,apt131.apt.emulab.net,"af-alg",10923.512517
1,stressng-cpu,apt131.apt.emulab.net,"atomic",572720.028298
1,stressng-cpu,apt131.apt.emulab.net,"bsearch",350.19533
1,stressng-cpu,apt131.apt.emulab.net,"cpu",207.899406
1,stressng-cpu,apt131.apt.emulab.net,"crypt",108.158547
1,stressng-cpu,apt131.apt.emulab.net,"fp-error",811120.826054
1,stressng-cpu,apt131.apt.emulab.net,"hsearch",3408.892566
1,stressng-cpu,apt131.apt.emulab.net,"longjmp",96271.74753
1,stressng-cpu,apt131.apt.emulab.net,"lsearch",7.200152
1,stressng-cpu,apt131.apt.emulab.net,"matrix",3934.628581
1,stressng-cpu,apt131.apt.emulab.net,"opcode",1120.149838
1,stressng-cpu,apt131.apt.emulab.net,"qsort",7.266952
